custid,retained,Days between creation and first order,Days since last order,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,train,created,firstorder,lastorder,,,, 
HW5JYT,1,59,175,47,12.76595745,2.127659574,66.27,0.006493506,0,0,0,Tuesday,CHO,0,4/22/11,6/20/11,7/29/13,,,,
GED7CZ,0,3,1085,0,0,0,218.86,0,0,0,0,Monday,RIC,0,1/28/11,1/31/11,1/31/11,,,,
2HNWMF,0,19,935,0,0,0,72.34,0.029268293,0,0,0,Thursday,CHO,0,11/18/10,12/7/10,6/30/11,,,,
GE9MH2,1,680,4,49,12.24489796,4.081632653,57.83,0.002478315,0,0,0,Wednesday,CHO,0,12/21/09,11/1/11,1/16/14,,,,
N8SZJ,1,4,57,54,9.259259259,1.851851852,47.22,0.023084995,0,0,0,Monday,RIC,0,4/12/11,4/16/11,11/24/13,,,,
EMZJM9,1,117,945,16,0,0,66.96,0.071428571,0,0,0,Tuesday,CHO,0,1/26/11,5/23/11,6/20/11,,,,
3GMX2Q,1,722,775,42,30.95238095,7.142857143,134.22,0.875,0,0,0,Wednesday,CHO,0,12/7/09,11/29/11,12/7/11,,,,
QGWUC6,0,577,1340,0,0,0,44.95,0,0,0,0,Monday,CHO,0,10/21/08,5/21/10,5/21/10,,,,
5S7M94,1,8,992,47,6.382978723,0,93.04,0.018828452,0,0,0,Monday,CHO,0,1/3/10,1/11/10,5/4/11,,,,
V46DVT,0,6,2,16,6.25,0,106.87,0.0042337,1,0,0,Monday,CHO,0,10/19/10,10/25/10,1/18/14,,,,
NRBENY,1,31,1705,35,2.857142857,0,90.3,0,0,0,0,Friday,CHO,0,4/20/09,5/21/09,5/21/09,,,,
U3QMZX,1,1253,98,33,6.060606061,3.03030303,72.64,0,1,0,0,Wednesday,CHO,0,5/10/10,10/14/13,10/14/13,,,,
HFJZVG,1,76,434,42,23.80952381,4.761904762,79.26,0.021543986,0,0,0,Friday,CHO,0,2/18/11,5/5/11,11/12/12,,,,
PPNKAB,1,0,704,43,30.23255814,20.93023256,47.24,0.007668712,0,0,0,Thursday,CHO,0,5/5/10,5/5/10,2/16/12,,,,
PUS9BA,0,81,1049,0,0,0,96.59,0,0,0,0,Tuesday,RIC,0,12/17/10,3/8/11,3/8/11,,,,
4ZJEGC,1,32,872,44,2.272727273,0,60.52,0.026315789,0,0,0,Wednesday,CHO,0,1/22/11,2/23/11,9/1/11,,,,
EK2D8G,1,420,497,45,17.77777778,0,69.23,0.060755337,0,0,0,Tuesday,CHO,0,11/16/09,1/10/11,9/10/12,,,,
UR6NKR,0,0,973,2,50,0,77.8,0.01369863,0,0,0,Monday,CHO,0,5/23/10,5/23/10,5/23/11,,,,
8QWHUD,1,0,1026,40,27.5,2.5,53.5,0.078947368,0,0,0,Thursday,CHO,0,2/21/11,2/21/11,3/31/11,,,,
HZZBHF,1,119,50,51,13.7254902,5.882352941,131.24,0.004651163,0,0,0,Tuesday,CHO,0,3/28/11,7/25/11,12/1/13,,,,
HGZUR2,1,173,1197,47,0,0,46.08,0,0,0,0,Tuesday,DCX,0,4/21/10,10/11/10,10/11/10,,,,
3Z2MAQ,1,14,1530,40,40,7.5,80.06,0.172413793,0,0,0,Thursday,CHO,0,9/30/09,10/14/09,11/12/09,,,,
QKL28A,0,186,528,0,0,0,66.53,0.136915078,1,0,0,Friday,RIC,0,7/9/10,1/11/11,8/10/12,,,,
Z7YGH2,1,368,321,47,0,0,82.94,0.011494253,0,0,0,Tuesday,RIC,0,3/20/11,3/22/12,3/5/13,,,,
WGGVVJ,1,696,16,42,57.14285714,2.380952381,105.68,0.063352827,0,0,0,Wednesday,CHO,0,4/18/09,3/15/11,1/4/14,,,,
A94C3F,0,0,1739,0,0,0,24.42,0,0,0,0,Friday,CHO,0,4/17/09,4/17/09,4/17/09,,,,
B8T676,1,3,1141,45,0,0,80,0,0,0,0,Tuesday,CHO,0,12/3/10,12/6/10,12/6/10,,,,
878L58,0,0,476,0,0,0,50.06,0.011325028,0,0,0,Monday,CHO,0,5/2/10,5/2/10,10/1/12,,,,
4UXX6L,0,0,1699,0,0,0,45.7,0,0,0,0,Thursday,CHO,0,5/27/09,5/27/09,5/27/09,,,,
W9A2TB,1,1,281,46,6.52173913,0,91.67,0.006256517,0,0,0,Monday,CHO,0,8/28/10,8/29/10,4/14/13,,,,
HHVUSX,1,36,48,48,18.75,8.333333333,122.69,0.044164038,1,0,0,Thursday,RIC,0,3/22/11,4/27/11,12/3/13,,,,
X9QZMN,0,20,1033,0,0,0,53.97,0.0625,0,0,0,Friday,RIC,0,1/15/11,2/4/11,3/24/11,,,,
M2AAV7,1,57,1062,46,4.347826087,0,119.81,0.076271186,0,0,0,Thursday,CHO,0,9/1/10,10/28/10,2/23/11,,,,
NMT966,0,0,1527,0,0,0,22.84,0,0,0,0,Monday,CHO,0,11/15/09,11/15/09,11/15/09,,,,
GMRWFW,0,8,1222,5,0,0,31.89,0.333333333,0,0,0,Thursday,CHO,0,8/30/10,9/7/10,9/16/10,,,,
DFULJF,1,79,577,48,8.333333333,0,49.51,0.013605442,0,0,0,Friday,RIC,0,8/25/10,11/12/10,6/22/12,,,,
MQJ7VE,1,0,1412,16,0,0,45.82,0.011278195,0,0,0,Thursday,CHO,0,6/17/09,6/17/09,3/10/10,,,,
DSMQXM,0,437,1299,0,0,0,68.79,0,0,0,0,Friday,CHO,0,4/20/09,7/1/10,7/1/10,,,,
CSXWB2,1,271,1002,18,0,0,75.31,0.114285714,0,0,0,Monday,CHO,0,6/22/10,3/20/11,4/24/11,,,,
WKVUNG,0,1084,51,0,0,0,53.49,0,0,0,0,Tuesday,CHO,0,12/12/10,11/30/13,11/30/13,,,,
BTEYSU,0,220,868,0,0,0,160.47,0.027777778,0,0,0,Monday,RIC,0,11/17/10,6/25/11,9/5/11,,,,
L8BAE8,0,80,657,0,0,0,75.76,0.063694268,0,0,0,Friday,RIC,0,3/6/11,5/25/11,4/3/12,,,,
XR3V3V,1,40,958,44,9.090909091,2.272727273,56.02,0,0,0,0,Thursday,CHO,0,4/28/11,6/7/11,6/7/11,,,,
ULM9PE,0,15,1032,0,0,0,59.13,0,0,0,0,Friday,CHO,0,3/10/11,3/25/11,3/25/11,,,,
MD4VKM,0,50,798,18,77.77777778,0,119.41,0.031390135,0,0,0,Tuesday,RIC,0,2/14/11,4/5/11,11/14/11,,,,
3GDS4G,1,164,783,18,0,0,76.25,0.151515152,0,0,0,Wednesday,CHO,0,9/27/10,3/10/11,11/29/11,,,,
4Z4PKU,1,335,1215,38,36.84210526,0,30.25,0.055555556,0,0,0,Thursday,CHO,0,9/17/09,8/18/10,9/23/10,,,,
2UFWRC,1,75,1301,18,0,0,73.89,0,0,0,0,Wednesday,CHO,0,4/15/10,6/29/10,6/29/10,,,,
N8GQC9,1,0,1307,32,84.375,0,53.21,0.142857143,0,0,0,Wednesday,CHO,0,6/9/10,6/9/10,6/23/10,,,,
MYAMTB,1,1000,90,49,2.040816327,2.040816327,68.69,0.019230769,0,1,0,Thursday,CHO,0,10/14/10,7/10/13,10/22/13,,,,
MDRSH9,1,504,56,53,7.547169811,1.886792453,49.22,0.006346328,0,0,0,Wednesday,CHO,0,7/2/09,11/18/10,11/25/13,,,,
QRMMJL,1,0,1358,16,0,0,52.24,0,0,0,0,Tuesday,CHO,0,5/3/10,5/3/10,5/3/10,,,,
BETC2J,0,78,922,0,0,0,78.72,0.205128205,0,0,0,Wednesday,CHO,0,2/7/11,4/26/11,7/13/11,,,,
A3MQSQ,1,8,314,31,80.64516129,0,74.1,0.007022472,0,0,0,Friday,RIC,0,3/23/11,3/31/11,3/12/13,,,,
2K385V,1,446,797,40,45,5,57.9,0,0,0,0,Friday,RIC,0,8/26/10,11/15/11,11/15/11,,,,
TK2DRL,0,1,1224,0,0,0,50.11,0,0,0,0,Tuesday,CHO,0,9/13/10,9/14/10,9/14/10,,,,
GM4R96,1,4,5,50,0,0,101.88,0.025,0,0,0,Monday,RIC,0,9/29/10,10/3/10,1/15/14,,,,
7YBLJP,1,771,281,44,2.272727273,0,75.34,0,0,0,0,Monday,CHO,0,3/5/11,4/14/13,4/14/13,,,,
4XTZBW,0,248,1126,0,0,0,25.41,0.166666667,0,0,0,Thursday,CHO,0,1/17/10,9/22/10,12/21/10,,,,
2ZM8LV,1,62,508,47,2.127659574,0,51.87,0.007874016,0,0,0,Monday,CHO,0,2/7/11,4/10/11,8/30/12,,,,
4SXMB8,0,0,1225,0,0,0,29.68,0,0,0,0,Tuesday,CHO,0,9/13/10,9/13/10,9/13/10,,,,
ATZ3SM,1,0,951,41,26.82926829,2.43902439,36.32,0.003384095,0,0,0,Tuesday,CHO,0,10/31/09,10/31/09,6/14/11,,,,
KBQYJS,1,0,1141,33,66.66666667,3.03030303,50,0,0,0,0,Thursday,CHO,0,12/6/10,12/6/10,12/6/10,,,,
7CSZT9,1,278,396,34,91.17647059,8.823529412,71.09,0.009077156,0,0,0,Tuesday,CHO,0,5/26/10,2/28/11,12/20/12,,,,
EVNYY8,1,1,307,41,17.07317073,0,29.38,0.002229654,0,0,0,Monday,CHO,0,10/3/10,10/4/10,3/19/13,,,,
VYZNXG,0,80,529,3,66.66666667,0,36.73,0.049382716,0,0,0,Thursday,RIC,0,1/21/11,4/11/11,8/9/12,,,,
V9M9KQ,1,0,748,18,0,0,147.47,0.011904762,0,0,0,Wednesday,RIC,0,11/9/10,11/9/10,1/3/12,,,,
XSGC8S,1,0,1771,16,0,0,7.14,0,0,0,0,Tuesday,CHO,0,3/16/09,3/16/09,3/16/09,,,,
ER8P5H,0,9,915,0,0,0,42.94,0.029411765,0,0,0,Thursday,CHO,0,2/16/10,2/25/10,7/20/11,,,,
RS3GR,0,86,867,0,0,0,15.44,0.065217391,0,0,0,Friday,RIC,0,4/27/11,7/22/11,9/6/11,,,,
4KVY8L,0,61,1484,39,17.94871795,0,33.4,0,0,0,0,Tuesday,CHO,0,10/28/09,12/28/09,12/28/09,,,,
N644Y8,1,311,152,35,91.42857143,11.42857143,42.07,0.029306648,1,0,0,Thursday,CHO,0,12/15/08,10/22/09,8/21/13,,,,
QPHG7V,1,175,367,48,10.41666667,4.166666667,50.21,0.03115727,0,0,0,Thursday,RIC,0,9/22/10,3/16/11,1/18/13,,,,
2A5TBB,1,65,12,44,93.18181818,13.63636364,83.07,0.135531136,0,0,0,Tuesday,RIC,0,11/8/10,1/12/11,1/8/14,,,,
KXTV8T,1,392,518,43,23.25581395,0,84.67,0.015075377,1,0,0,Monday,CHO,0,6/22/10,7/19/11,8/20/12,,,,
KDLBAE,1,1,1159,47,8.510638298,2.127659574,58.95,0,0,0,0,Thursday,CHO,0,11/17/10,11/18/10,11/18/10,,,,
YNP547,1,2,1226,45,4.444444444,0,93.96,0.1,1,0,0,Tuesday,CHO,0,8/21/10,8/23/10,9/12/10,,,,
UGQ8VY,1,26,97,40,45,0,192.98,0.013347023,0,0,0,Tuesday,CHO,0,1/19/11,2/14/11,10/15/13,,,,
8XSJPQ,1,1,75,50,4,0,84.88,0.024126456,0,0,0,Friday,CHO,0,7/22/10,7/23/10,11/6/13,,,,
5R2GEU,1,3,973,45,8.888888889,0,41.51,0.040816327,0,0,0,Monday,CHO,0,4/1/11,4/4/11,5/23/11,,,,
5V4WH3,0,15,983,0,0,0,97.89,0.085714286,0,0,0,Friday,CHO,0,3/24/11,4/8/11,5/13/11,,,,
5FB2AP,1,0,1223,44,2.272727273,0,19.56,0,0,0,0,Wednesday,CHO,0,9/15/10,9/15/10,9/15/10,,,,
SXPMV5,0,73,1436,0,0,0,24.26,0,0,0,0,Monday,CHO,0,12/3/09,2/14/10,2/14/10,,,,
4ZDLEH,0,95,759,0,0,0,56.83,0.020737327,0,0,0,Friday,RIC,0,7/12/10,10/15/10,12/23/11,,,,
SMEWYP,0,0,1015,0,0,0,72.4,0,1,0,0,Thursday,RIC,0,4/11/11,4/11/11,4/11/11,,,,
7RV4T3,0,5,559,0,0,0,135.55,0.007751938,1,0,0,Thursday,RIC,0,9/29/10,10/4/10,7/10/12,,,,
2YMN6P,0,0,1340,0,0,0,42.6,0,0,0,0,Wednesday,CHO,0,5/21/10,5/21/10,5/21/10,,,,
7WGT48,1,202,105,40,42.5,7.5,27.86,0.045215563,1,0,0,Tuesday,RIC,0,8/11/10,3/1/11,10/7/13,,,,
849DDM,0,0,1426,0,0,0,56.71,0,0,0,0,Wednesday,CHO,0,2/24/10,2/24/10,2/24/10,,,,
T8G2CY,1,599,743,16,0,0,81.99,0,0,0,0,Wednesday,CHO,0,5/19/10,1/8/12,1/8/12,,,,
VF2825,1,1087,275,33,78.78787879,27.27272727,56.74,0,0,0,0,Tuesday,CHO,0,4/29/10,4/20/13,4/20/13,,,,
2PB5EX,1,1,1203,31,67.74193548,3.225806452,100.6,0,0,0,0,Tuesday,CHO,0,10/4/10,10/5/10,10/5/10,,,,
LWDJWH,1,40,47,46,54.34782609,17.39130435,139.5,0.065068493,0,0,0,Thursday,CHO,0,8/14/10,9/23/10,12/4/13,,,,
VD9MT,1,0,70,48,10.41666667,10.41666667,70.89,0.008429926,0,0,0,Thursday,CHO,0,4/7/11,4/7/11,11/11/13,,,,
DXRE3R,0,323,666,0,0,0,48.23,0.016,0,0,0,Tuesday,CHO,0,8/20/09,7/9/10,3/25/12,,,,
DLADQM,0,47,223,1,100,0,271.65,0.049803408,0,0,0,Thursday,RIC,0,3/24/11,5/10/11,6/11/13,,,,
DBGXEK,1,58,754,45,22.22222222,0,137.78,0.042857143,0,0,0,Monday,CHO,0,4/19/10,6/16/10,12/28/11,,,,
9DXV6D,1,56,377,35,82.85714286,2.857142857,87.14,0.114886731,1,0,0,Monday,RIC,0,3/6/11,5/1/11,1/8/13,,,,
BYXX9C,1,0,1195,16,0,0,70.56,0,0,0,0,Thursday,CHO,0,10/13/10,10/13/10,10/13/10,,,,
LM4EAF,0,328,874,0,0,0,35.88,0,0,0,0,Wednesday,CHO,0,10/6/10,8/30/11,8/30/11,,,,
ZLV5KR,1,204,1034,18,0,0,50.87,0.571428571,0,0,0,Wednesday,CHO,0,8/24/10,3/16/11,3/23/11,,,,
H7SDYR,1,369,187,47,12.76595745,0,52.58,0.060514372,1,0,0,Thursday,CHO,0,9/21/10,9/25/11,7/17/13,,,,
9VQSDL,1,0,1224,16,0,0,102.74,0,0,0,0,Tuesday,CHO,0,9/14/10,9/14/10,9/14/10,,,,
Q9JCF3,1,76,194,44,4.545454545,0,88.68,0.009049774,1,0,0,Monday,RIC,0,9/16/12,12/1/12,7/10/13,,,,
QJNZVM,1,0,7,53,11.32075472,7.547169811,117.77,0.1,0,0,1,Monday,RIC,0,4/28/13,4/28/13,1/13/14,,,,
QWKKEM,1,1,252,33,84.84848485,9.090909091,81.85,0.031347962,1,0,0,Monday,CHO,0,6/27/12,6/28/12,5/13/13,,,,
9XZABQ,1,0,344,45,6.666666667,6.666666667,72.04,0.041322314,1,0,0,Monday,RIC,0,10/12/12,10/12/12,2/10/13,,,,
JJQW6V,1,27,666,45,0,0,55.88,0.1,1,0,0,Tuesday,RIC,0,2/7/12,3/5/12,3/25/12,,,,
LM57QL,1,0,40,38,65.78947368,2.631578947,90.13,0.0260631,0,0,0,Monday,CHO,0,12/13/11,12/13/11,12/11/13,,,,
2WW6TW,1,-35,7,43,53.48837209,16.27906977,77.94,0.068773234,1,0,0,Wednesday,RIC,0,8/28/12,7/24/12,1/13/14,,,,
4FFC8E,1,0,303,42,16.66666667,2.380952381,80.56,0.019480519,0,0,0,Tuesday,CHO,0,10/20/12,10/20/12,3/23/13,,,,
JNHEXN,0,49,461,0,0,0,42.28,0,1,0,0,Thursday,DCX,0,8/28/12,10/16/12,10/16/12,,,,
NTD6N7,0,0,183,0,0,0,53.94,0.2,1,0,0,Tuesday,DCX,0,7/6/13,7/6/13,7/21/13,,,,
LTUBS7,1,0,169,47,10.63829787,4.255319149,72.16,0.038461538,0,0,0,Monday,CHO,0,2/5/12,2/5/12,8/4/13,,,,
CCP7RR,1,13,15,41,92.68292683,31.70731707,80.31,0.010025063,0,0,0,Monday,RIC,0,10/17/11,10/30/11,1/5/14,,,,
BUFSQN,0,3,321,0,0,0,57.4,0.058823529,1,0,0,Thursday,CHO,0,9/30/12,10/3/12,3/5/13,,,,
RDTM8T,0,-26,378,0,0,0,49.67,0.050632911,0,0,0,Sunday,DCX,0,8/28/12,8/2/12,1/7/13,,,,
NAL7E3,0,0,219,0,0,0,99.94,0,0,0,0,Saturday,DCX,0,6/15/13,6/15/13,6/15/13,,,,
DXBQJ8,1,165,217,35,71.42857143,22.85714286,99.71,0,1,1,0,Thursday,DCX,0,1/3/13,6/17/13,6/17/13,,,,
93U94U,1,0,335,48,0,0,63.27,0.014760148,0,0,0,Thursday,CHO,0,5/24/12,5/24/12,2/19/13,,,,
9ZKRX7,1,60,215,42,7.142857143,4.761904762,47.18,0,0,0,0,Monday,RIC,0,4/20/13,6/19/13,6/19/13,,,,
W7VEKT,1,0,33,51,9.803921569,5.882352941,57.08,0.014084507,0,0,0,Thursday,BWI,0,5/19/13,5/19/13,12/18/13,,,,
JGRA2J,1,17,360,45,0,0,58.25,0.023076923,0,0,0,Friday,RIC,0,8/31/12,9/17/12,1/25/13,,,,
Y2TX93,1,267,18,52,3.846153846,0,61.33,0.030534351,1,0,0,Friday,CHO,0,7/22/12,4/15/13,1/2/14,,,,
EPTR2K,1,8,341,45,0,0,67.47,0,0,0,0,Wednesday,RIC,0,2/5/13,2/13/13,2/13/13,,,,
E9TUBX,1,1,222,37,10.81081081,0,110.42,0,1,0,0,Thursday,DCX,0,6/11/13,6/12/13,6/12/13,,,,
JSYEHW,1,37,215,45,0,0,124.79,0,0,0,0,Friday,CHO,0,5/13/13,6/19/13,6/19/13,,,,
YBFGDC,1,1,25,31,70.96774194,38.70967742,92.09,0.092975207,1,0,0,Sunday,DCX,0,8/28/12,8/29/12,12/26/13,,,,
N9LGZX,1,14,6,53,1.886792453,0,63.23,0.032911392,0,0,0,Wednesday,DCX,0,12/1/12,12/15/12,1/14/14,,,,
Z3PZDY,1,86,6,47,48.93617021,14.89361702,73.11,0.058064516,1,0,0,Friday,RIC,0,5/18/13,8/12/13,1/14/14,,,,
9HSJXC,1,81,4,50,8,6,74.65,0.123076923,1,0,0,Tuesday,RIC,0,6/19/13,9/8/13,1/16/14,,,,
BH5TW7,0,29,267,0,0,0,40.87,0.075630252,0,0,0,Wednesday,DCX,0,12/1/12,12/30/12,4/28/13,,,,
PJTGNR,1,133,104,30,40,16.66666667,53.89,0.25,0,0,0,Wednesday,DCX,0,5/20/13,9/30/13,10/8/13,,,,
U2KV7Y,1,37,201,29,37.93103448,0,46.99,0.021505376,1,0,0,Sunday,DCX,0,2/23/13,4/1/13,7/3/13,,,,
MALWJ4,1,328,79,41,26.82926829,0,67.89,0.044061303,1,0,0,Tuesday,CHO,0,7/6/11,5/29/12,11/2/13,,,,
Q8D52U,0,12,188,2,100,0,34.51,0.25,1,0,0,Wednesday,DCX,0,6/26/13,7/8/13,7/16/13,,,,
QBYE9A,1,8,344,44,6.818181818,2.272727273,56.22,0,0,0,0,Monday,RIC,0,2/2/13,2/10/13,2/10/13,,,,
N59FDJ,1,51,169,43,9.302325581,2.325581395,46.16,0.038961039,1,0,0,Tuesday,CHO,0,3/29/13,5/19/13,8/4/13,,,,
HUK5TJ,1,6,292,43,11.62790698,0,51.49,0,0,0,0,Thursday,RIC,0,3/28/13,4/3/13,4/3/13,,,,
CWR8T6,1,26,236,45,0,0,17.97,0,0,0,0,Wednesday,DCX,0,5/3/13,5/29/13,5/29/13,,,,
838ZRD,1,0,204,34,88.23529412,0,65,0.071428571,1,0,0,Monday,DCX,0,6/2/13,6/2/13,6/30/13,,,,
WRE6K2,0,1,182,27,88.88888889,11.11111111,86.32,0.07183908,1,0,0,Friday,RIC,0,8/25/11,8/26/11,7/22/13,,,,
5FQ767,1,0,236,45,0,0,77.08,0,1,0,0,Tuesday,RIC,0,5/29/13,5/29/13,5/29/13,,,,
LMQQK9,1,162,35,39,74.35897436,7.692307692,113.08,0.035087719,1,0,0,Tuesday,RIC,0,5/11/13,10/20/13,12/16/13,,,,
KE26TZ,1,0,802,45,4.444444444,2.222222222,55.71,0,0,0,0,Tuesday,RIC,0,11/10/11,11/10/11,11/10/11,,,,
TRU2XV,1,0,223,49,8.163265306,0,42.41,0.037037037,0,0,0,Wednesday,RIC,0,10/26/11,10/26/11,6/11/13,,,,
P9EPEF,0,0,269,32,46.875,0,50.98,0,1,0,0,Tuesday,CHO,0,4/26/13,4/26/13,4/26/13,,,,
8KAJZN,1,9,216,43,9.302325581,0,54.37,0,1,0,0,Wednesday,RIC,0,6/9/13,6/18/13,6/18/13,,,,
7HJKNA,1,0,300,45,0,0,73.73,0,0,0,0,Wednesday,RIC,0,3/26/13,3/26/13,3/26/13,,,,
89N9BJ,1,-33,522,36,0,0,40.49,0.142857143,0,0,0,Sunday,DCX,0,8/28/12,7/26/12,8/16/12,,,,
6MQM9W,1,0,638,45,8.888888889,8.888888889,21.75,0.1,0,0,0,Tuesday,RIC,0,4/2/12,4/2/12,4/22/12,,,,
PPZDB4,0,11,169,40,0,0,88.5,0.057142857,1,0,0,Monday,DCX,0,6/19/13,6/30/13,8/4/13,,,,
6ZVL66,0,2,371,0,0,0,104.25,0.005141388,0,0,0,Friday,CHO,0,12/20/11,12/22/11,1/14/13,,,,
M2A5UF,1,0,39,51,66.66666667,11.76470588,42.9,0.02960969,0,0,0,Friday,CHO,0,11/30/11,11/30/11,12/12/13,,,,
NFSLCQ,1,0,220,42,23.80952381,0,100.02,0,1,0,0,Thursday,DCX,0,6/14/13,6/14/13,6/14/13,,,,
BSLTDD,1,0,419,37,43.24324324,10.81081081,52.64,0.036281179,1,0,0,Tuesday,RIC,0,9/13/11,9/13/11,11/27/12,,,,
HKYEB4,1,-39,454,38,0,0,50.41,0.052631579,0,0,0,Sunday,DCX,0,8/28/12,7/20/12,10/23/12,,,,
WMRXVA,1,4,194,47,23.40425532,6.382978723,44.64,0.077922078,0,0,0,Thursday,RIC,0,4/20/13,4/24/13,7/10/13,,,,
CXS9GP,1,9,0,66,39.39393939,12.12121212,43.13,0.126126126,0,0,0,Tuesday,RIC,0,2/12/13,2/21/13,1/20/14,,,,
J6CU9U,1,0,126,47,0,0,33.31,0.046594982,0,0,0,Tuesday,CHO,0,12/11/12,12/11/12,9/16/13,,,,
P85EAL,1,0,76,45,31.11111111,11.11111111,120.19,0.045454545,0,0,0,Wednesday,RIC,0,3/8/13,3/8/13,11/5/13,,,,
4P9RP7,1,-33,252,48,0,0,47.89,0.020618557,0,0,0,Saturday,BWI,0,8/28/12,7/26/12,5/13/13,,,,
D6HK95,0,105,323,0,0,0,44.71,0.006122449,0,0,0,Monday,CHO,0,7/17/11,10/30/11,3/3/13,,,,
M76DYE,1,-28,252,32,100,34.375,103.87,0.094405594,1,0,0,Wednesday,DCX,0,8/28/12,7/31/12,5/13/13,,,,
5X9BZT,1,312,29,45,48.88888889,4.444444444,108.27,0.006644518,1,0,0,Thursday,CHO,0,4/18/12,2/24/13,12/22/13,,,,
HACMFM,0,7,339,0,0,0,153.26,0.027100271,0,0,0,Monday,RIC,0,2/5/12,2/12/12,2/15/13,,,,
G59QNH,1,43,257,39,28.20512821,0,114.14,0,0,0,0,Thursday,RIC,0,3/26/13,5/8/13,5/8/13,,,,
RHQEAS,1,20,242,40,27.5,2.5,95.57,0,0,0,0,Friday,DCX,0,5/3/13,5/23/13,5/23/13,,,,
GHJFDW,1,137,64,51,5.882352941,1.960784314,88.58,0.030534351,1,0,0,Monday,RIC,0,1/26/12,6/11/12,11/17/13,,,,
W8K3YQ,1,164,1,47,36.17021277,2.127659574,178.99,0.021806854,0,0,0,Tuesday,CHO,0,9/21/12,3/4/13,1/19/14,,,,
VWFBF2,0,8,281,0,0,0,130.86,0,1,0,0,Monday,RIC,0,4/6/13,4/14/13,4/14/13,,,,
3ZHH44,1,0,306,44,6.818181818,4.545454545,149.83,0.083333333,1,0,0,Tuesday,CHO,0,2/12/13,2/12/13,3/20/13,,,,
FCEWNV,1,0,322,45,15.55555556,0,92.79,0,0,0,0,Tuesday,RIC,0,3/4/13,3/4/13,3/4/13,,,,
RZGMTV,1,3,285,41,19.51219512,2.43902439,193.06,0.125,0,0,0,Tuesday,CHO,0,3/22/13,3/25/13,4/10/13,,,,
T6U97Q,1,524,1,49,73.46938776,24.48979592,239.66,0.14159292,1,1,1,Monday,CHO,0,4/22/12,9/28/13,1/19/14,,,,
8MN866,0,180,63,6,16.66666667,0,56.71,0,0,0,0,Tuesday,RIC,0,5/22/13,11/18/13,11/18/13,,,,
6NWLDP,0,176,92,39,7.692307692,2.564102564,65.07,0,0,0,0,Saturday,DCX,0,4/27/13,10/20/13,10/20/13,,,,
NEVX7X,1,0,313,45,28.88888889,6.666666667,86.33,0.1,1,0,0,Thursday,CHO,0,2/1/13,2/1/13,3/13/13,,,,
5SZGMB,1,19,68,38,76.31578947,31.57894737,37.21,0.042735043,1,0,0,Thursday,RIC,0,7/29/11,8/17/11,11/13/13,,,,
M4FFL6,1,9,347,47,0,0,88.07,0.046082949,0,0,0,Friday,RIC,0,6/26/12,7/5/12,2/7/13,,,,
2F85SS,1,727,180,43,2.325581395,0,56.05,0,1,0,0,Thursday,RIC,0,7/28/11,7/24/13,7/24/13,,,,
6X23P6,1,7,316,42,26.19047619,11.9047619,81.17,0.023923445,0,0,0,Monday,CHO,0,8/6/12,8/13/12,3/10/13,,,,
VDYTMN,1,285,264,47,4.255319149,4.255319149,133.55,0.097222222,0,0,0,Thursday,RIC,0,5/9/12,2/18/13,5/1/13,,,,
